"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПІС Лк DL ІТШІ-22-1,2,3,4","10.02.2025","09:30:00","10.02.2025","11:05:00","Ложь","Истина","10.02.2025","09:25:00","2","Обычная","ПІС Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ПІС Лк DL ІТШІ-22-1,2,3,4","17.02.2025","09:30:00","17.02.2025","11:05:00","Ложь","Истина","17.02.2025","09:25:00","2","Обычная","ПІС Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ПІС Лк DL ІТШІ-22-1,2,3,4","24.02.2025","09:30:00","24.02.2025","11:05:00","Ложь","Истина","24.02.2025","09:25:00","2","Обычная","ПІС Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","17.03.2025","09:30:00","17.03.2025","11:05:00","Ложь","Истина","17.03.2025","09:25:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ПІС Лк DL ІТШІ-22-1,2,3,4","31.03.2025","09:30:00","31.03.2025","11:05:00","Ложь","Истина","31.03.2025","09:25:00","2","Обычная","ПІС Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","07.04.2025","09:30:00","07.04.2025","11:05:00","Ложь","Истина","07.04.2025","09:25:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","28.04.2025","09:30:00","28.04.2025","11:05:00","Ложь","Истина","28.04.2025","09:25:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","19.05.2025","09:30:00","19.05.2025","11:05:00","Ложь","Истина","19.05.2025","09:25:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ФВ Зал DL ІТШІ-22-3","09.06.2025","09:30:00","09.06.2025","11:05:00","Ложь","Истина","09.06.2025","09:25:00","2","Обычная","ФВ Зал DL ІТШІ-22-3","Обычный"
"ТПР Конс DL ІТШІ-22-3","16.06.2025","09:30:00","16.06.2025","11:05:00","Ложь","Истина","16.06.2025","09:25:00","2","Обычная","ТПР Конс DL ІТШІ-22-3","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","10.02.2025","11:15:00","10.02.2025","12:50:00","Ложь","Истина","10.02.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","17.02.2025","11:15:00","17.02.2025","12:50:00","Ложь","Истина","17.02.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","24.02.2025","11:15:00","24.02.2025","12:50:00","Ложь","Истина","24.02.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","03.03.2025","11:15:00","03.03.2025","12:50:00","Ложь","Истина","03.03.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","10.03.2025","11:15:00","10.03.2025","12:50:00","Ложь","Истина","10.03.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","17.03.2025","11:15:00","17.03.2025","12:50:00","Ложь","Истина","17.03.2025","11:10:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","24.03.2025","11:15:00","24.03.2025","12:50:00","Ложь","Истина","24.03.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","31.03.2025","11:15:00","31.03.2025","12:50:00","Ложь","Истина","31.03.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","07.04.2025","11:15:00","07.04.2025","12:50:00","Ложь","Истина","07.04.2025","11:10:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","14.04.2025","11:15:00","14.04.2025","12:50:00","Ложь","Истина","14.04.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","21.04.2025","11:15:00","21.04.2025","12:50:00","Ложь","Истина","21.04.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","28.04.2025","11:15:00","28.04.2025","12:50:00","Ложь","Истина","28.04.2025","11:10:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","05.05.2025","11:15:00","05.05.2025","12:50:00","Ложь","Истина","05.05.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"ТПР Лк DL ІТШІ-22-1,2,3,4","12.05.2025","11:15:00","12.05.2025","12:50:00","Ложь","Истина","12.05.2025","11:10:00","2","Обычная","ТПР Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","19.05.2025","11:15:00","19.05.2025","12:50:00","Ложь","Истина","19.05.2025","11:10:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","26.05.2025","11:15:00","26.05.2025","12:50:00","Ложь","Истина","26.05.2025","11:10:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"*КІС1 Зал DL *КІС1(ІТШІ-22-)-2","09.06.2025","11:15:00","09.06.2025","12:50:00","Ложь","Истина","09.06.2025","11:10:00","2","Обычная","*КІС1 Зал DL *КІС1(ІТШІ-22-)-2","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","10.02.2025","13:10:00","10.02.2025","14:45:00","Ложь","Истина","10.02.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","17.02.2025","13:10:00","17.02.2025","14:45:00","Ложь","Истина","17.02.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","24.02.2025","13:10:00","24.02.2025","14:45:00","Ложь","Истина","24.02.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","03.03.2025","13:10:00","03.03.2025","14:45:00","Ложь","Истина","03.03.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","10.03.2025","13:10:00","10.03.2025","14:45:00","Ложь","Истина","10.03.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","17.03.2025","13:10:00","17.03.2025","14:45:00","Ложь","Истина","17.03.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","24.03.2025","13:10:00","24.03.2025","14:45:00","Ложь","Истина","24.03.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","31.03.2025","13:10:00","31.03.2025","14:45:00","Ложь","Истина","31.03.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","07.04.2025","13:10:00","07.04.2025","14:45:00","Ложь","Истина","07.04.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","14.04.2025","13:10:00","14.04.2025","14:45:00","Ложь","Истина","14.04.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","21.04.2025","13:10:00","21.04.2025","14:45:00","Ложь","Истина","21.04.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"*КІС1 Пз DL *КІС1(ІТШІ-22-)-2","28.04.2025","13:10:00","28.04.2025","14:45:00","Ложь","Истина","28.04.2025","13:05:00","2","Обычная","*КІС1 Пз DL *КІС1(ІТШІ-22-)-2","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","05.05.2025","13:10:00","05.05.2025","14:45:00","Ложь","Истина","05.05.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"МН Лк DL ІТШІ-22-1,2,3,4","12.05.2025","13:10:00","12.05.2025","14:45:00","Ложь","Истина","12.05.2025","13:05:00","2","Обычная","МН Лк DL ІТШІ-22-1,2,3,4","Обычный"
"*КІС1 Лк DL *КІС1(ІТШІ-22-)-1;*КІС1(ІТШІ-22-)-2","19.05.2025","13:10:00","19.05.2025","14:45:00","Ложь","Истина","19.05.2025","13:05:00","2","Обычная","*КІС1 Лк DL *КІС1(ІТШІ-22-)-1;*КІС1(ІТШІ-22-)-2","Обычный"
"*КІС1 Пз DL *КІС1(ІТШІ-22-)-2","26.05.2025","13:10:00","26.05.2025","14:45:00","Ложь","Истина","26.05.2025","13:05:00","2","Обычная","*КІС1 Пз DL *КІС1(ІТШІ-22-)-2","Обычный"
"*РМП Зал DL *РМП(ІТШІ-22-)-2","09.06.2025","13:10:00","09.06.2025","14:45:00","Ложь","Истина","09.06.2025","13:05:00","2","Обычная","*РМП Зал DL *РМП(ІТШІ-22-)-2","Обычный"
